plec;wiek;czas_w_pom;temp_w_pom;poziom_kurzu;poziom_oswietlenia;niebezp_towary;decyzja
2;54;39;0;60;60;1;1
2;55;39;0;59;59;1;1
2;25;39;0;60;60;1;1
2;60;39;0;59;59;1;1
2;25;20;0;71;71;1;1
2;55;20;0;45;45;1;1
2;54;39;0;87;87;1;1
2;55;39;0;33;33;1;1
2;19;24;0;62;62;1;1
2;68;24;0;50;50;1;1
2;54;39;0;59;59;1;0
2;55;39;0;60;60;1;0
2;25;39;0;59;59;1;0
2;60;39;0;60;60;1;0
2;25;20;0;45;45;1;0
2;55;20;0;71;71;1;0
2;54;39;0;33;33;1;0
2;55;39;0;87;87;1;0
2;19;24;0;50;50;1;0
2;68;24;0;62;62;1;0
2;54;39;0;59;60;1;0
2;55;39;0;59;60;1;0
2;25;39;0;59;60;1;0
2;60;39;0;59;60;1;0
2;25;20;0;59;60;1;0
2;55;20;0;59;60;1;0
2;54;39;0;32;87;1;0
2;55;39;0;32;87;1;0
2;19;24;0;45;71;1;0
2;68;24;0;47;62;1;0
1;54;39;0;59;59;1;1
1;55;39;0;60;60;1;1
1;25;39;0;59;59;1;1
1;60;39;0;60;60;1;1
1;25;20;0;45;45;1;1
1;55;20;0;71;71;1;1
1;54;39;0;33;33;1;1
1;55;39;0;87;87;1;1
1;19;24;0;50;50;1;1
1;68;24;0;62;62;1;1
1;54;39;0;60;59;0;0
1;55;39;0;60;59;0;0
1;25;39;0;60;59;0;0
1;60;39;0;60;59;0;0
1;25;20;0;60;59;0;0
1;55;20;0;60;59;0;0
1;54;39;0;87;32;0;0
1;55;39;0;87;32;0;0
1;19;24;0;71;48;0;0
1;68;24;0;62;48;0;0
2;54;40;1;60;59;1;1
2;55;40;1;60;59;1;1
2;25;40;1;60;59;1;1
2;60;40;1;60;59;1;1
2;25;50;1;60;59;1;1
2;55;50;1;60;59;1;1
2;54;40;1;87;32;1;1
2;55;40;1;87;32;1;1
2;19;51;1;71;48;1;1
2;68;51;1;62;48;1;1
2;54;40;1;60;60;1;1
2;55;40;1;59;59;1;1
2;25;40;1;60;60;1;1
2;60;40;1;59;59;1;1
2;25;50;1;71;71;1;1
2;55;50;1;45;45;1;1
2;54;40;1;87;87;1;1
2;55;40;1;33;33;1;1
2;19;51;1;62;62;1;1
2;68;51;1;50;50;1;1
2;54;40;1;59;59;1;0
2;55;40;1;60;60;1;0
2;25;40;1;59;59;1;0
2;60;40;1;60;60;1;0
2;25;50;1;45;45;1;0
2;55;50;1;71;71;1;0
2;54;40;1;33;33;1;0
2;55;40;1;87;87;1;0
2;19;51;1;50;50;1;0
2;68;51;1;62;62;1;0
1;54;40;1;59;59;1;1
1;55;40;1;60;60;1;1
1;25;40;1;59;59;1;1
1;60;40;1;60;60;1;1
1;25;50;1;45;45;1;1
1;55;50;1;71;71;1;1
1;54;40;1;33;33;1;1
1;55;40;1;87;87;1;1
1;19;51;1;50;50;1;1
1;68;51;1;62;62;1;1
1;54;40;1;59;60;1;1
1;55;40;1;59;60;1;1
1;25;40;1;59;60;1;1
1;60;40;1;59;60;1;1
1;25;50;1;59;60;1;1
1;55;50;1;59;60;1;1
1;54;40;1;32;87;1;1
1;55;40;1;32;87;1;1
1;19;51;1;45;71;1;1
1;68;51;1;47;62;1;1
1;54;40;1;60;59;0;0
1;55;40;1;60;59;0;0
1;25;40;1;60;59;0;0
1;60;40;1;60;59;0;0
1;25;50;1;60;59;0;0
1;55;50;1;60;59;0;0
1;54;40;1;87;32;0;0
1;55;40;1;87;32;0;0
1;19;51;1;71;48;0;0
1;68;51;1;62;48;0;0
2;54;39;1;60;59;1;0
2;55;39;1;60;59;1;0
2;25;39;1;60;59;1;0
2;60;39;1;60;59;1;0
2;25;20;1;60;59;1;0
2;55;20;1;60;59;1;0
2;54;39;1;87;32;1;0
2;55;39;1;87;32;1;0
2;19;24;1;71;48;1;0
2;68;24;1;62;48;1;0
1;54;39;1;60;59;1;0
1;55;39;1;60;59;1;0
1;25;39;1;60;59;1;0
1;60;39;1;60;59;1;0
1;25;20;1;60;59;1;0
1;55;20;1;60;59;1;0
1;54;39;1;87;32;1;0
1;55;39;1;87;32;1;0
1;19;24;1;71;48;1;0
1;68;24;1;62;48;1;0
1;54;19;0;60;59;1;0
1;55;19;0;60;59;1;0
1;25;19;0;60;59;1;0
1;60;5;0;60;59;1;0
1;25;5;0;60;59;1;0
1;55;10;0;60;59;1;0
1;54;18;0;87;32;1;0
1;55;18;0;87;32;1;0
1;19;3;0;71;48;1;0
1;68;12;0;62;48;1;0
